"objid","poi_id","kategorie","quartier","strasse","baumgattunglat","baumartlat","baumnamelat","baumnamedeu","baumnummer","status","baumtyp","baumtyptext","pflanzjahr","genauigkeit","kronendurchmesser","geometry"
"249","SW-446","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-446","Strassenbaum","0","nicht zugeordnet","","Eingemessen","16","POINT (2685679 1251654.6)"
"252","SW-445","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-445","Strassenbaum","0","nicht zugeordnet","","Eingemessen","7","POINT (2685669.2 1251658.5)"
"255","SW-444","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-444","Strassenbaum","0","nicht zugeordnet","","Eingemessen","10","POINT (2685660 1251661.9)"
"258","SW-443","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-443","Strassenbaum","0","nicht zugeordnet","","Eingemessen","16","POINT (2685650.2 1251665)"
"261","SW-442","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-442","Strassenbaum","0","nicht zugeordnet","","Eingemessen","6","POINT (2685639.8 1251668.8)"
"264","SW-441","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-441","Strassenbaum","0","nicht zugeordnet","","Eingemessen","6","POINT (2685633 1251671.1)"
"267","SW-440","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-440","Strassenbaum","0","nicht zugeordnet","1993","Eingemessen","6","POINT (2685625.2 1251674)"
"270","SW-439","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-439","Strassenbaum","0","nicht zugeordnet","","Eingemessen","8","POINT (2685599.2 1251681.4)"
"273","SW-438","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-438","Strassenbaum","0","nicht zugeordnet","","Eingemessen","10","POINT (2685582.8 1251682.8)"
"276","SW-437","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-437","Strassenbaum","0","nicht zugeordnet","","Eingemessen","12","POINT (2685577.8 1251683.4)"
"279","SW-3562","Parkbaum","Hirzenbach","Schulhaus Luchswiesen 80-86/Glattwiesenstr.","Fraxinus","excelsior","Fraxinus excelsior","Gemeine Esche","SW-3562","Grünanlage","0","nicht zugeordnet","1960","Eingemessen","17","POINT (2686348.5 1251018.9)"
"282","SW-3561","Parkbaum","Hirzenbach","Schulhaus Luchswiesen 80-86/Glattwiesenstr.","Fraxinus","excelsior","Fraxinus excelsior","Gemeine Esche","SW-3561","Grünanlage","0","nicht zugeordnet","1950","Eingemessen","18","POINT (2686341 1251021.1)"
"285","SW-3574","Parkbaum","Hirzenbach","Schulhaus Luchswiesen 80-86/Glattwiesenstr.","Liriodendron","tulipifera","Liriodendron tulipifera","Tulpenbaum","SW-3574","Grünanlage","1","Höhe:>20m, Breite:>10m","1960","Eingemessen","17","POINT (2686325.8 1250980.9)"
"288","SW-3580","Parkbaum","Hirzenbach","Schulhaus Luchswiesen 80-86/Glattwiesenstr.","Pinus","sylvestris","Pinus sylvestris","Gewöhnlicher Kiefer, Wald-Kiefer, Föhre","SW-3580","Grünanlage","0","nicht zugeordnet","2006","Eingemessen","7","POINT (2686348.8 1250977)"
"291","SW-3576","Parkbaum","Hirzenbach","Schulhaus Luchswiesen 80-86/Glattwiesenstr.","Pinus","sylvestris","Pinus sylvestris","Gewöhnlicher Kiefer, Wald-Kiefer, Föhre","SW-3576","Grünanlage","0","nicht zugeordnet","2006","Eingemessen","7","POINT (2686325 1250957.5)"
"294","SW-3577","Parkbaum","Hirzenbach","Schulhaus Luchswiesen 80-86/Glattwiesenstr.","Carpinus","betulus","Carpinus betulus","Gemeine Hain- oder Weissbuche","SW-3577","Grünanlage","4","Höhe:10-20m, Breite:<10m","2006","Eingemessen","6","POINT (2686328.2 1250947.4)"
